,CRIM,RM,DIS,PTRATIO,LSTAT,GFK,MEDV
0,0.00632,6.575,4.09,15.3,4.98,YES,24.0
1,0.02731,6.421,4.9671,17.8,9.14,YES,21.6
2,0.02729,7.185,4.9671,17.8,4.03,YES,34.7
3,0.03237,6.998,6.0622,18.7,2.94,NO,33.4
4,0.06905,7.147,6.0622,18.7,5.33,NO,36.2
5,0.02985,6.43,6.0622,18.7,5.21,NO,28.7
6,0.08829,6.012,5.5605,15.2,12.43,YES,22.9
7,0.14455,6.172,5.9505,15.2,19.15,YES,27.1
8,0.21124,5.631,6.0821,15.2,29.93,NO,16.5
9,0.17004,6.004,6.5921,15.2,17.1,NO,18.9
10,0.22489,6.377,6.3467,15.2,20.45,NO,15.0
11,0.11747,6.009,6.2267,15.2,13.27,NO,18.9
12,0.09378,5.889,5.4509,15.2,15.71,YES,21.7
13,0.62976,5.949,4.7075,21.0,8.26,NO,20.4
14,0.63796,6.096,4.4619,21.0,10.26,NO,18.2
15,0.62739,5.834,4.4986,21.0,8.47,NO,19.9
16,1.05393,5.935,4.4986,21.0,6.58,NO,23.1
17,0.7842,5.99,4.2579,21.0,14.67,NO,17.5
18,0.80271,5.456,3.7965,21.0,11.69,NO,20.2
19,0.7258,5.727,3.7965,21.0,11.28,NO,18.2
20,1.25179,5.57,3.7979,21.0,21.02,NO,13.6
21,0.85204,5.965,4.0123,21.0,13.83,NO,19.6
22,1.23247,6.142,3.9769,21.0,18.72,NO,15.2
23,0.98843,5.813,4.0952,21.0,19.88,NO,14.5
24,0.75026,5.924,4.3996,21.0,16.3,NO,15.6
25,0.84054,5.599,4.4546,21.0,16.51,NO,13.9
26,0.67191,5.813,4.682,21.0,14.81,NO,16.6
27,0.95577,6.047,4.4534,21.0,17.28,NO,14.8
28,0.77299,6.495,4.4547,21.0,12.8,NO,18.4
29,1.00245,6.674,4.239,21.0,11.98,NO,21.0
30,1.13081,5.713,4.233,21.0,22.6,NO,12.7
31,1.35472,6.072,4.175,21.0,13.04,NO,14.5
32,1.38799,5.95,3.99,21.0,27.71,NO,13.2
33,1.15172,5.701,3.7872,21.0,18.35,NO,13.1
34,1.61282,6.096,3.7598,21.0,20.34,NO,13.5
35,0.06417,5.933,3.3603,19.2,9.68,YES,18.9
36,0.09744,5.841,3.3779,19.2,11.41,YES,20.0
37,0.08014,5.85,3.9342,19.2,8.77,YES,21.0
38,0.17505,5.966,3.8473,19.2,10.13,YES,24.7
39,0.02763,6.595,5.4011,18.3,4.32,YES,30.8
40,0.03359,7.024,5.4011,18.3,1.98,YES,34.9
41,0.12744,6.77,5.7209,17.9,4.84,YES,26.6
42,0.1415,6.169,5.7209,17.9,5.81,YES,25.3
43,0.15936,6.211,5.7209,17.9,7.44,YES,24.7
44,0.12269,6.069,5.7209,17.9,9.55,YES,21.2
45,0.17142,5.682,5.1004,17.9,10.21,YES,19.3
46,0.18836,5.786,5.1004,17.9,14.15,YES,20.0
47,0.22927,6.03,5.6894,17.9,18.8,YES,16.6
48,0.25387,5.399,5.87,17.9,30.81,YES,14.4
49,0.21977,5.602,6.0877,17.9,16.2,NO,19.4
50,0.08873,5.963,6.8147,16.8,13.45,NO,19.7
51,0.04337,6.115,6.8147,16.8,9.43,NO,20.5
52,0.0536,6.511,6.8147,16.8,5.28,NO,25.0
53,0.04981,5.998,6.8147,16.8,8.43,NO,23.4
54,0.0136,5.888,7.3197,21.1,14.8,NO,18.9
55,0.01311,7.249,8.6966,17.9,4.81,NO,35.4
56,0.02055,6.383,9.1876,17.3,5.77,NO,24.7
57,0.01432,6.816,8.3248,15.1,3.95,NO,31.6
58,0.15445,6.145,7.8148,19.7,6.86,NO,23.3
59,0.10328,5.927,6.932,19.7,9.22,NO,19.6
60,0.14932,5.741,7.2254,19.7,13.15,NO,18.7
61,0.17171,5.966,6.8185,19.7,14.44,NO,16.0
62,0.11027,6.456,7.2255,19.7,6.73,NO,22.2
63,0.1265,6.762,7.9809,19.7,9.5,NO,25.0
64,0.01951,7.104,9.2229,18.6,8.05,NO,33.0
65,0.03584,6.29,6.6115,16.1,4.67,NO,23.5
66,0.04379,5.787,6.6115,16.1,10.24,NO,19.4
67,0.05789,5.878,6.498,18.9,8.1,NO,22.0
68,0.13554,5.594,6.498,18.9,13.09,NO,17.4
69,0.12816,5.885,6.498,18.9,8.79,NO,20.9
70,0.08826,6.417,5.2873,19.2,6.72,YES,24.2
71,0.15876,5.961,5.2873,19.2,9.88,YES,21.7
72,0.09164,6.065,5.2873,19.2,5.52,YES,22.8
73,0.19539,6.245,5.2873,19.2,7.54,YES,23.4
74,0.07896,6.273,4.2515,18.7,6.78,YES,24.1
75,0.09512,6.286,4.5026,18.7,8.94,YES,21.4
76,0.10153,6.279,4.0522,18.7,11.97,YES,20.0
77,0.08707,6.14,4.0905,18.7,10.27,YES,20.8
78,0.05646,6.232,5.0141,18.7,12.34,YES,21.2
79,0.08387,5.874,4.5026,18.7,9.1,YES,20.3
80,0.04113,6.727,5.4007,19.0,5.29,YES,28.0
81,0.04462,6.619,5.4007,19.0,7.22,YES,23.9
82,0.03659,6.302,5.4007,19.0,6.72,YES,24.8
83,0.03551,6.167,5.4007,19.0,7.51,YES,22.9
84,0.05059,6.389,4.7794,18.5,9.62,YES,23.9
85,0.05735,6.63,4.4377,18.5,6.53,YES,26.6
86,0.05188,6.015,4.4272,18.5,12.86,YES,22.5
87,0.07151,6.121,3.7476,18.5,8.44,YES,22.2
88,0.0566,7.007,3.4217,17.8,5.5,YES,23.6
89,0.05302,7.079,3.4145,17.8,5.7,YES,28.7
90,0.04684,6.417,3.0923,17.8,8.81,YES,22.6
91,0.03932,6.405,3.0921,17.8,8.2,YES,22.0
92,0.04203,6.442,3.6659,18.2,8.16,YES,22.9
93,0.02875,6.211,3.6659,18.2,6.21,YES,25.0
94,0.04294,6.249,3.615,18.2,10.59,YES,20.6
95,0.12204,6.625,3.4952,18.0,6.65,YES,28.4
96,0.11504,6.163,3.4952,18.0,11.34,YES,21.4
97,0.12083,8.069,3.4952,18.0,4.21,YES,38.7
98,0.08187,7.82,3.4952,18.0,3.57,YES,43.8
99,0.0686,7.416,3.4952,18.0,6.19,YES,33.2
100,0.14866,6.727,2.7778,20.9,9.42,NO,27.5
101,0.11432,6.781,2.8561,20.9,7.67,NO,26.5
102,0.22876,6.405,2.7147,20.9,10.63,NO,18.6
103,0.21161,6.137,2.7147,20.9,13.44,NO,19.3
104,0.1396,6.167,2.421,20.9,12.33,NO,20.1
105,0.13262,5.851,2.1069,20.9,16.47,NO,19.5
106,0.1712,5.836,2.211,20.9,18.66,NO,19.5
107,0.13117,6.127,2.1224,20.9,14.09,NO,20.4
108,0.12802,6.474,2.4329,20.9,12.27,NO,19.8
109,0.26363,6.229,2.5451,20.9,15.55,NO,19.4
110,0.10793,6.195,2.7778,20.9,13.0,NO,21.7
111,0.10084,6.715,2.6775,17.8,10.16,YES,22.8
112,0.12329,5.913,2.3534,17.8,16.21,YES,18.8
113,0.22212,6.092,2.548,17.8,17.09,YES,18.7
114,0.14231,6.254,2.2565,17.8,10.45,YES,18.5
115,0.17134,5.928,2.4631,17.8,15.76,YES,18.3
116,0.13158,6.176,2.7301,17.8,12.04,YES,21.2
117,0.15098,6.021,2.7474,17.8,10.3,YES,19.2
118,0.13058,5.872,2.4775,17.8,15.37,YES,20.4
119,0.14476,5.731,2.7592,17.8,13.61,YES,19.3
120,0.06899,5.87,2.2577,19.1,14.37,YES,22.0
121,0.07165,6.004,2.1974,19.1,14.27,YES,20.3
122,0.09299,5.961,2.0869,19.1,17.93,YES,20.5
123,0.15038,5.856,1.9444,19.1,25.41,YES,17.3
